日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
101/03/01,1725168.0,165016560,96.8,96.8,95.2,95.3,-1.6,1041.0
101/03/02,1668256.0,158183045,95.0,95.2,94.5,94.9,-0.4,959.0
101/03/03,319024.0,30121159,94.6,95.0,94.1,94.5,-0.4,216.0
101/03/05,2285832.0,213725108,93.9,94.4,93.1,94.1,-0.4,1271.0
101/03/06,3185472.0,298641127,94.0,94.9,92.8,93.7,-0.4,1602.0
101/03/07,2094072.0,194455396,93.0,94.0,92.4,92.6,-1.1,1098.0
101/03/08,2397961.0,222918237,92.8,94.2,92.0,94.1,1.5,1609.0
101/03/09,1681184.0,156676399,94.5,94.5,92.5,93.6,-0.5,971.0
101/03/12,713306.0,66188652,93.9,93.9,92.5,92.6,-1.0,457.0
101/03/13,2533463.0,237985671,93.0,94.8,92.7,94.2,1.6,1457.0
101/03/14,3338701.0,319135149,95.5,96.2,94.8,95.6,1.4,1809.0
101/03/15,1164675.0,110563550,95.5,95.5,94.5,95.5,-0.1,833.0
101/03/16,1897478.0,178106539,95.0,95.0,93.4,93.4,-2.1,1099.0
101/03/19,1534038.0,141198696,93.9,93.9,91.2,92.0,-1.4,1011.0
101/03/20,1011705.0,92510417,91.5,92.2,91.0,91.3,-0.7,633.0
101/03/21,1972967.0,181042876,91.3,93.0,90.5,93.0,1.7,1177.0
101/03/22,1277033.0,118378244,93.0,93.3,91.9,92.9,-0.1,663.0
101/03/23,1812472.0,167785056,92.9,93.0,91.9,93.0,0.1,503.0
101/03/26,2551904.0,233546878,92.0,92.7,90.9,90.9,-2.1,1508.0
101/03/27,1643393.0,151233646,91.9,93.0,91.0,93.0,2.1,1025.0
101/03/28,702279.0,64804517,93.0,93.0,91.6,92.8,-0.2,497.0
101/03/29,1891677.0,174641708,91.2,93.0,91.2,92.5,-0.3,961.0
101/03/30,2463590.0,225919080,90.6,92.5,90.6,92.0,-0.5,1242.0
