日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
105/02/01,12000.0,117070,9.75,9.76,9.75,9.76,-0.09,6.0
105/02/02,23330.0,229814,9.85,9.87,9.81,9.86,0.1,13.0
105/02/03,28000.0,277360,9.86,9.97,9.86,9.95,0.09,14.0
105/02/15,54000.0,540920,10.1,10.1,9.94,9.94,-0.01,19.0
105/02/16,3000.0,30000,10.0,10.0,10.0,10.0,0.06,2.0
105/02/17,59000.0,580210,9.9,9.9,9.8,9.9,-0.1,21.0
105/02/18,24000.0,236370,9.9,9.93,9.82,9.93,0.03,8.0
105/02/19,0.0,0,,,,,,0.0
105/02/22,116005.0,1150899,9.9,10.0,9.81,9.89,,42.0
105/02/23,69000.0,679140,9.89,9.89,9.8,9.88,-0.01,26.0
105/02/24,38000.0,372940,9.83,9.89,9.79,9.86,-0.02,21.0
105/02/25,15000.0,147960,9.98,9.98,9.83,9.83,-0.03,11.0
105/02/26,69000.0,679700,9.89,9.9,9.82,9.88,0.05,32.0
