日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/03/02,668018.0,8198116,12.5,12.5,12.2,12.25,-0.3,298.0
109/03/03,237065.0,2937447,12.45,12.45,12.3,12.3,0.05,132.0
109/03/04,257017.0,3153504,12.3,12.35,12.2,12.3,0.0,114.0
109/03/05,154006.0,1906478,12.4,12.45,12.3,12.35,0.05,76.0
109/03/06,241009.0,2963117,12.35,12.35,12.25,12.3,-0.05,103.0
109/03/09,761381.0,9207510,12.3,12.3,12.0,12.0,-0.3,340.0
109/03/10,568701.0,6755613,11.9,12.1,11.75,12.1,0.1,237.0
109/03/11,321016.0,3856493,12.1,12.15,11.95,11.95,-0.15,153.0
109/03/12,1793546.0,19998556,11.8,11.9,10.8,10.9,-1.05,579.0
109/03/13,2425649.0,23841581,9.9,9.97,9.81,9.9,-1.0,754.0
109/03/16,1429787.0,13399778,9.9,9.92,9.02,9.05,-0.85,591.0
109/03/17,1353372.0,11295638,8.17,8.71,8.17,8.2,-0.85,549.0
109/03/18,1147850.0,9599135,8.2,8.49,8.2,8.38,0.18,454.0
109/03/19,1465063.0,11160397,8.18,8.18,7.55,7.58,-0.8,535.0
109/03/20,1147640.0,9102890,7.67,8.09,7.66,8.0,0.42,463.0
109/03/23,408867.0,3098803,7.35,7.75,7.34,7.57,-0.43,173.0
109/03/24,433509.0,3467321,7.58,8.1,7.58,7.94,0.37,203.0
109/03/25,912765.0,7476934,8.11,8.3,8.05,8.13,0.19,316.0
109/03/26,539198.0,4358148,8.18,8.23,7.93,8.19,0.06,177.0
109/03/27,580571.0,4753360,8.25,8.3,8.07,8.09,-0.1,223.0
109/03/30,474532.0,3677222,8.0,8.08,7.6,8.0,-0.09,245.0
109/03/31,393067.0,3159666,8.15,8.15,8.0,8.05,0.05,133.0
