日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/02/03,436206.0,5332062,12.3,12.35,12.05,12.35,-0.45,254.0
109/02/04,375335.0,4721801,12.4,12.75,12.4,12.55,0.2,181.0
109/02/05,270419.0,3414827,12.6,12.7,12.55,12.6,0.05,130.0
109/02/06,349113.0,4425192,12.65,12.75,12.6,12.7,0.1,161.0
109/02/07,279503.0,3494629,12.7,12.7,12.4,12.5,-0.2,163.0
109/02/10,553028.0,6937851,12.5,12.75,12.3,12.6,0.1,173.0
109/02/11,181409.0,2280824,12.5,12.7,12.5,12.5,-0.1,111.0
109/02/12,213224.0,2680508,12.5,12.65,12.5,12.55,0.05,119.0
109/02/13,163301.0,2054899,12.55,12.65,12.55,12.55,0.0,112.0
109/02/14,167858.0,2116562,12.55,12.65,12.55,12.6,0.05,129.0
109/02/17,260316.0,3259201,12.6,12.6,12.45,12.5,-0.1,167.0
109/02/18,322678.0,4007545,12.45,12.5,12.35,12.45,-0.05,153.0
109/02/19,291009.0,3634708,12.5,12.55,12.45,12.55,0.1,110.0
109/02/20,218015.0,2723630,12.55,12.6,12.45,12.5,-0.05,100.0
109/02/21,173620.0,2167440,12.45,12.55,12.45,12.45,-0.05,118.0
109/02/24,295267.0,3671915,12.4,12.5,12.35,12.45,0.0,141.0
109/02/25,224023.0,2780031,12.35,12.5,12.25,12.45,0.0,114.0
109/02/26,142022.0,1767118,12.4,12.55,12.4,12.45,0.0,82.0
109/02/27,1042183.0,13118092,12.45,12.8,12.4,12.55,0.1,343.0
