日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
104/07/01,395200.0,4452400,11.15,11.3,11.15,11.3,0.05,52.0
104/07/02,242000.0,2718550,11.2,11.3,11.2,11.25,-0.05,55.0
104/07/03,221650.0,2479514,11.2,11.25,11.15,11.15,-0.1,57.0
104/07/06,230299.0,2565678,11.2,11.25,11.05,11.1,-0.05,40.0
104/07/07,31659.0,353049,11.2,11.2,11.1,11.1,0.0,22.0
104/07/08,389000.0,4245750,11.2,11.2,10.7,11.0,-0.1,129.0
104/07/09,171000.0,1837400,10.95,10.95,10.45,10.95,-0.05,87.0
104/07/13,152655.0,1650624,10.95,10.95,10.7,10.9,-0.05,64.0
104/07/14,197001.0,2119060,10.85,10.9,10.65,10.7,-0.2,77.0
104/07/15,168000.0,1789550,10.8,10.8,10.6,10.65,-0.05,58.0
104/07/16,206000.0,2172450,10.65,10.7,10.4,10.55,-0.1,61.0
104/07/17,341000.0,3536150,10.45,10.6,10.2,10.2,-0.35,74.0
104/07/20,96663.0,992645,10.25,10.4,10.2,10.3,0.1,42.0
104/07/21,108011.0,1114165,10.3,10.4,10.25,10.4,0.1,38.0
104/07/22,144000.0,1474200,10.35,10.35,10.2,10.25,-0.15,43.0
104/07/23,302028.0,3037737,10.2,10.25,9.95,10.15,-0.1,87.0
104/07/24,99000.0,989850,10.0,10.1,9.95,9.95,-0.2,32.0
104/07/27,322000.0,3198080,9.8,10.05,9.8,9.95,0.0,62.0
104/07/28,301050.0,3006880,9.95,10.05,9.93,10.0,0.05,79.0
104/07/29,207001.0,2062740,9.96,10.0,9.94,10.0,0.0,39.0
104/07/30,299001.0,3071710,10.0,10.45,10.0,10.3,0.3,82.0
104/07/31,114000.0,1158700,10.3,10.4,10.05,10.15,-0.15,52.0
