日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/05/02,36655873.0,805201330,21.6,22.3,20.85,22.3,2.0,11945.0
113/05/03,129457795.0,2958389330,22.75,23.7,22.1,22.3,0.0,45225.0
113/05/06,48688900.0,1053710556,22.45,23.05,20.75,21.05,-1.25,19488.0
113/05/07,23521983.0,480235403,20.8,21.5,19.9,20.2,-0.85,9412.0
113/05/08,9847119.0,197166311,20.25,20.5,19.85,20.15,-0.05,4379.0
113/05/09,8132702.0,161766239,20.15,20.45,19.6,19.6,-0.55,3763.0
113/05/10,9932237.0,191422023,19.6,19.65,19.05,19.1,-0.5,4263.0
113/05/13,7810998.0,147704869,19.1,19.25,18.65,18.95,-0.15,3324.0
113/05/14,6327174.0,120631838,19.15,19.45,18.9,18.9,-0.05,2874.0
