日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/12/01,931409.0,12188189,13.05,13.2,13.0,13.15,0.2,482.0
111/12/02,798510.0,10545997,13.05,13.3,13.05,13.3,0.15,412.0
111/12/05,1053624.0,14177923,13.35,13.6,13.3,13.35,0.05,585.0
111/12/06,795834.0,10407131,13.25,13.35,12.95,13.0,-0.35,457.0
111/12/07,731185.0,9503009,13.0,13.2,12.8,13.0,0.0,400.0
111/12/08,835683.0,11112232,13.15,13.55,13.0,13.45,0.45,430.0
111/12/09,840934.0,11184417,13.55,13.6,13.1,13.2,-0.25,513.0
111/12/12,584345.0,7591969,13.1,13.1,12.9,13.0,-0.2,321.0
111/12/13,2513331.0,31284449,12.8,12.8,12.25,12.25,-0.75,1168.0
111/12/14,1831051.0,23337889,12.65,13.05,12.4,12.9,0.65,754.0
111/12/15,505716.0,6470450,12.9,13.0,12.65,12.7,-0.2,327.0
111/12/16,1003856.0,12401998,12.65,12.65,12.25,12.35,-0.35,506.0
111/12/19,1001717.0,12276130,12.3,12.4,12.2,12.3,-0.05,347.0
111/12/20,1199464.0,14481945,12.25,12.3,11.85,12.0,-0.3,613.0
111/12/21,515330.0,6168297,12.1,12.1,11.9,12.0,0.0,308.0
111/12/22,508492.0,6111860,12.1,12.1,11.95,12.0,0.0,329.0
111/12/23,497847.0,5913908,12.0,12.0,11.8,11.85,-0.15,319.0
111/12/26,375798.0,4482576,11.95,12.1,11.85,11.95,0.1,276.0
111/12/27,481054.0,5718013,11.95,12.0,11.8,11.9,-0.05,341.0
111/12/28,1057180.0,12437094,11.85,11.9,11.65,11.8,-0.1,482.0
111/12/29,581022.0,6735097,11.75,11.75,11.45,11.6,-0.2,370.0
111/12/30,1162974.0,13881816,11.85,12.15,11.8,11.85,0.25,602.0
