日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
100/11/01,51000.0,1156450,22.75,23.0,22.5,22.5,-0.6,32.0
100/11/02,75400.0,1675559,22.5,22.5,22.1,22.1,-0.4,55.0
100/11/03,112100.0,2498995,22.3,22.65,22.1,22.1,0.0,47.0
100/11/04,83100.0,1840960,22.1,22.45,22.1,22.15,0.05,43.0
100/11/07,85126.0,1882084,22.4,22.4,21.8,21.8,-0.35,44.0
100/11/08,100800.0,2186829,21.9,22.2,21.5,21.75,-0.05,53.0
100/11/09,136398.0,2934776,21.7,21.8,21.1,21.7,-0.05,73.0
100/11/10,92050.0,1908180,21.0,21.4,20.5,20.5,-1.2,58.0
100/11/11,234309.0,4548151,20.5,20.9,19.1,19.15,-1.35,142.0
100/11/14,276445.0,5273781,19.15,19.15,18.9,19.1,-0.05,104.0
100/11/15,202046.0,3847066,19.1,19.1,18.9,19.0,-0.1,68.0
100/11/16,453150.0,8174677,19.0,19.0,17.7,17.8,-1.2,170.0
100/11/17,811955.0,13704198,17.5,17.8,16.6,17.8,0.0,201.0
100/11/18,700799.0,11798733,17.05,17.8,16.6,17.1,-0.7,268.0
100/11/21,362000.0,6011099,17.0,17.0,16.0,16.8,-0.3,129.0
100/11/22,255421.0,4188503,16.8,16.8,16.0,16.5,-0.3,86.0
100/11/23,811129.0,12955487,16.35,16.4,15.45,16.0,-0.5,116.0
100/11/24,465100.0,7195385,15.4,15.8,15.0,15.8,-0.2,154.0
100/11/25,334100.0,5238774,15.5,16.0,15.0,16.0,0.2,140.0
100/11/28,368550.0,6039447,16.0,17.0,16.0,16.55,0.55,128.0
100/11/29,181467.0,3096491,16.8,17.3,16.8,17.05,0.5,78.0
100/11/30,78000.0,1322200,17.05,17.05,16.7,16.7,-0.35,29.0
