日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
104/08/03,102000.0,1020020,10.15,10.15,9.91,10.0,-0.15,34.0
104/08/04,114000.0,1130120,10.05,10.05,9.81,9.81,-0.19,35.0
104/08/05,16000.0,159570,10.0,10.0,9.87,9.96,0.15,14.0
104/08/06,63227.0,626947,9.96,10.0,9.9,10.0,0.04,27.0
104/08/07,84335.0,844020,10.0,10.05,9.99,10.05,0.05,28.0
104/08/10,74000.0,742340,9.92,10.1,9.92,10.1,0.05,33.0
104/08/11,89000.0,893000,10.05,10.15,9.98,10.0,-0.1,50.0
104/08/12,113000.0,1142510,10.0,10.2,9.96,10.0,0.0,49.0
104/08/13,87000.0,868000,10.0,10.0,9.95,10.0,0.0,22.0
104/08/14,103000.0,1045650,10.0,10.25,9.99,10.05,0.05,36.0
104/08/17,69500.0,690500,10.0,10.05,9.92,10.0,-0.05,23.0
104/08/18,41000.0,409130,9.9,10.05,9.9,10.0,0.0,24.0
104/08/19,129555.0,1289044,9.95,9.99,9.92,9.98,-0.02,56.0
104/08/20,224138.0,2243840,9.95,10.15,9.95,10.05,0.07,118.0
104/08/21,151000.0,1497130,9.98,9.98,9.88,9.91,-0.14,53.0
104/08/24,562160.0,5150244,9.91,9.91,8.92,9.5,-0.41,114.0
104/08/25,105000.0,991610,9.3,9.6,9.3,9.41,-0.09,47.0
104/08/26,208000.0,1887090,9.23,9.3,9.0,9.29,-0.12,46.0
104/08/27,804000.0,7889970,9.01,9.38,9.01,9.26,-0.03,99.0
104/08/28,152055.0,1416217,9.26,9.5,9.12,9.5,0.24,75.0
104/08/31,64000.0,602040,9.5,9.5,9.35,9.4,-0.1,43.0
