日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
102/04/01,1853865.0,67519806,36.45,36.55,36.1,36.4,-0.05,763.0
102/04/02,4180091.0,152156008,36.35,36.65,36.0,36.65,0.25,1808.0
102/04/03,2169546.0,79152466,36.6,36.6,36.35,36.5,-0.15,1666.0
102/04/08,3525351.0,127068883,36.25,36.55,35.9,35.9,-0.6,1626.0
102/04/09,4281730.0,153661024,36.0,36.0,35.8,35.85,-0.05,1454.0
102/04/10,5277719.0,189275434,36.0,36.0,35.8,36.0,0.15,1836.0
102/04/11,4245476.0,153053057,35.8,36.45,35.7,36.45,0.45,2134.0
102/04/12,1433986.0,51941427,35.8,36.4,35.8,36.4,-0.05,664.0
102/04/15,2660811.0,96624272,36.4,36.7,36.1,36.7,0.3,1006.0
102/04/16,2631304.0,95353017,36.2,36.55,35.8,36.5,-0.2,685.0
102/04/17,3723654.0,134867393,36.4,36.5,36.05,36.25,-0.25,1519.0
102/04/18,2553661.0,91882962,35.85,36.15,35.8,36.0,-0.25,1542.0
102/04/19,2309143.0,84038740,36.15,36.6,36.0,36.6,0.6,1014.0
102/04/22,8905116.0,333402129,37.5,38.0,37.0,37.1,0.5,3136.0
102/04/23,4317356.0,160201572,37.3,37.35,37.0,37.1,0.0,2682.0
102/04/24,3239874.0,120488758,37.45,37.45,37.05,37.15,0.05,1629.0
102/04/25,3322043.0,123805480,37.4,37.45,37.1,37.45,0.3,1475.0
102/04/26,2744061.0,102608494,37.45,37.5,37.2,37.2,-0.25,1748.0
102/04/29,2268113.0,84585038,37.3,37.4,37.2,37.35,0.15,1243.0
102/04/30,4934655.0,184568625,37.3,37.5,37.25,37.45,0.1,1878.0
