日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/12/01,10842685.0,457555765,42.1,42.7,42.05,42.35,0.35,6352.0
110/12/02,8177124.0,345140282,42.25,42.5,42.1,42.4,0.05,3852.0
110/12/03,5044777.0,215517058,42.5,42.95,42.25,42.75,0.35,2957.0
110/12/06,6359313.0,273166466,42.75,43.25,42.4,43.15,0.4,3722.0
110/12/07,4879669.0,210851522,43.2,43.4,43.0,43.25,0.1,2889.0
110/12/08,5708508.0,248094034,43.4,43.55,43.3,43.5,0.25,3334.0
110/12/09,4913512.0,213393804,43.55,43.6,43.3,43.5,0.0,3049.0
110/12/10,3386073.0,147113628,43.45,43.55,43.3,43.45,-0.05,1798.0
110/12/13,6113639.0,264357383,43.45,43.65,43.0,43.0,-0.45,3689.0
110/12/14,3953319.0,170378477,43.0,43.35,42.9,43.05,0.05,2012.0
110/12/15,4883233.0,211949240,43.3,43.65,43.25,43.4,0.35,1983.0
110/12/16,12502560.0,535622150,43.3,43.35,42.6,42.95,-0.45,5954.0
110/12/17,32402436.0,1395628447,42.95,43.4,42.85,42.95,0.0,6989.0
110/12/20,15552972.0,677114699,43.25,43.75,43.25,43.4,0.45,5595.0
110/12/21,11699582.0,511687589,43.65,43.95,43.5,43.75,0.35,3314.0
110/12/22,11260790.0,495117962,43.9,44.15,43.85,43.9,0.15,3013.0
110/12/23,10764175.0,476407187,43.9,44.35,43.85,44.3,0.4,4214.0
110/12/24,2658738.0,117633429,44.4,44.4,44.1,44.25,-0.05,3518.0
110/12/27,2677227.0,118087688,44.25,44.25,44.0,44.15,-0.1,1562.0
110/12/28,2179894.0,96206685,44.25,44.25,44.05,44.2,0.05,1341.0
110/12/29,2223771.0,98337146,44.3,44.3,44.1,44.25,0.05,1126.0
110/12/30,2657006.0,117597992,44.3,44.35,44.15,44.3,0.05,1336.0
