日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/10/05,3131336.0,129775553,41.75,41.95,41.15,41.15,-0.35,1275.0
109/10/06,4048790.0,168213430,41.35,41.8,41.0,41.8,0.65,1889.0
109/10/07,4511302.0,186573208,41.4,41.6,41.15,41.2,-0.6,2376.0
109/10/08,4786413.0,196519329,41.3,41.6,40.85,41.1,-0.1,2401.0
109/10/12,7912158.0,322729786,41.1,41.25,40.6,40.7,-0.4,3171.0
109/10/13,3915155.0,158497081,40.65,40.7,40.35,40.55,-0.15,1529.0
109/10/14,6396637.0,258483675,40.6,40.75,40.3,40.3,-0.25,2663.0
109/10/15,4909278.0,198437157,40.25,40.7,40.2,40.4,0.1,2277.0
109/10/16,5422472.0,220492526,40.3,40.8,40.3,40.55,0.15,2793.0
109/10/19,4966697.0,204346838,40.7,41.4,40.7,41.0,0.45,2379.0
109/10/20,5039039.0,206578578,41.0,41.4,40.8,40.8,-0.2,2122.0
109/10/21,5209230.0,214188595,41.1,41.4,40.9,41.0,0.2,2208.0
109/10/22,8919218.0,370037739,40.95,41.8,40.95,41.45,0.45,2567.0
109/10/23,4076366.0,168277872,41.45,41.6,41.1,41.1,-0.35,1628.0
109/10/26,2075998.0,85721706,41.1,41.5,41.1,41.25,0.15,1031.0
109/10/27,2628833.0,108437065,41.15,41.4,41.1,41.25,0.0,855.0
109/10/28,8200138.0,343200977,41.15,42.1,41.15,41.9,0.65,3072.0
109/10/29,4790990.0,197862563,41.5,41.6,41.0,41.0,-0.9,2192.0
109/10/30,5549613.0,228263603,41.0,41.45,41.0,41.15,0.15,1512.0
