日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
105/10/03,1396973.0,38487398,27.4,27.7,27.4,27.5,0.1,891.0
105/10/04,1535747.0,42300377,27.6,27.65,27.45,27.5,0.0,788.0
105/10/05,2048410.0,56473889,27.4,27.8,27.3,27.7,0.2,1037.0
105/10/06,1677816.0,46626013,27.7,27.9,27.65,27.75,0.05,1191.0
105/10/07,1701990.0,47404611,27.8,28.0,27.75,27.75,0.0,956.0
105/10/11,1637824.0,45507756,27.9,27.9,27.65,27.85,0.1,1016.0
105/10/12,2125520.0,58823343,27.75,27.95,27.5,27.5,-0.35,1112.0
105/10/13,6284084.0,169364743,27.45,27.5,26.5,26.85,-0.65,3219.0
105/10/14,2775636.0,74944598,26.9,27.3,26.8,27.0,0.15,1428.0
105/10/17,3359118.0,89910838,27.0,27.05,26.6,26.7,-0.3,1932.0
105/10/18,1958883.0,52703691,26.7,27.2,26.6,27.0,0.3,915.0
105/10/19,2173489.0,59171236,27.0,27.3,27.0,27.2,0.2,1201.0
105/10/20,3175801.0,85808506,27.2,27.3,26.9,26.95,-0.25,2264.0
105/10/21,5203564.0,140107578,27.0,27.4,26.8,26.85,-0.1,1641.0
105/10/24,3048448.0,82167206,27.1,27.2,26.85,27.05,0.2,1877.0
105/10/25,7573022.0,210147316,27.3,28.1,27.2,28.0,0.95,3221.0
105/10/26,3685915.0,102548985,28.2,28.2,27.65,27.7,-0.3,1822.0
105/10/27,2476369.0,68771065,27.8,27.9,27.65,27.85,0.15,1161.0
105/10/28,3109212.0,86624235,27.85,28.0,27.55,27.95,0.1,1136.0
105/10/31,4235611.0,116521553,27.6,27.7,27.2,27.55,-0.4,1938.0
