日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
105/08/01,307115.0,35613340,115.5,116.5,115.0,116.5,1.0,229.0
105/08/02,1670678.0,200140716,116.5,122.0,115.5,122.0,5.5,1205.0
105/08/03,630176.0,76377972,120.5,122.0,119.5,122.0,0.0,463.0
105/08/04,1646405.0,203620826,122.5,126.0,121.0,125.5,3.5,1146.0
105/08/05,646848.0,80676848,125.5,126.0,123.5,125.0,-0.5,422.0
105/08/08,612191.0,76446493,126.0,127.0,124.0,124.0,-1.0,413.0
105/08/09,806006.0,97999232,124.0,124.5,119.0,121.0,-3.0,567.0
105/08/10,611172.0,74833739,121.5,123.5,121.5,122.5,1.5,411.0
105/08/11,701100.0,84171049,122.5,122.5,118.5,119.5,-3.0,506.0
105/08/12,555119.0,66646661,119.5,121.5,119.0,119.0,-0.5,374.0
105/08/15,378001.0,45080621,119.5,120.5,118.5,120.0,1.0,281.0
105/08/16,640022.0,75845096,120.5,121.0,117.0,117.5,-2.5,435.0
105/08/17,644628.0,75103116,117.0,118.0,115.5,116.0,-1.5,445.0
105/08/18,1096803.0,129713678,116.0,120.5,115.5,120.0,4.0,757.0
105/08/19,595633.0,71116008,120.0,121.0,118.0,118.5,-1.5,439.0
105/08/22,384310.0,45159580,118.5,119.0,116.5,117.0,-1.5,277.0
105/08/23,620215.0,71862655,117.0,117.5,115.0,115.5,-1.5,431.0
105/08/24,724482.0,82964966,116.0,116.5,113.5,114.0,-1.5,536.0
105/08/25,398133.0,45531162,114.0,115.5,113.5,114.0,0.0,303.0
105/08/26,502005.0,57373600,115.0,115.5,113.5,114.0,0.0,380.0
105/08/29,419030.0,48017570,114.5,116.0,114.0,114.5,0.5,289.0
105/08/30,785040.0,91341720,115.0,117.5,115.0,117.0,2.5,543.0
105/08/31,366027.0,42801686,117.0,118.0,116.0,117.5,0.5,306.0
