日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
105/03/01,11035486.0,505792238,45.1,46.35,45.1,45.75,0.55,4906.0
105/03/02,7239107.0,330480211,45.85,46.25,45.35,45.65,-0.1,3668.0
105/03/03,9524181.0,439946151,45.65,46.8,45.65,45.95,0.3,4619.0
105/03/04,3844268.0,176715128,46.2,46.2,45.65,46.0,0.05,2145.0
105/03/07,5652178.0,260884088,46.2,46.6,45.8,45.85,-0.15,2806.0
105/03/08,5098170.0,231768827,46.0,46.0,44.9,45.55,-0.3,2793.0
105/03/09,4103244.0,188225338,45.55,46.0,45.4,45.95,0.4,2216.0
105/03/10,5231721.0,241101557,46.0,46.3,45.75,46.25,0.3,2559.0
105/03/11,11277270.0,532730278,46.7,47.75,46.7,47.2,0.95,5355.0
105/03/14,6186807.0,291536832,47.5,47.7,46.8,46.9,-0.3,3061.0
105/03/15,8316571.0,382523278,46.7,46.75,45.4,45.6,-1.3,4138.0
105/03/16,3979101.0,183689796,45.7,46.45,45.7,46.2,0.6,2236.0
105/03/17,4953249.0,229427505,46.55,46.7,45.9,46.3,0.1,2380.0
105/03/18,10316622.0,476159507,46.5,46.9,45.7,46.25,-0.05,3925.0
105/03/21,7441095.0,348683137,46.25,47.2,46.0,47.15,0.9,3630.0
105/03/22,4003956.0,187495100,47.15,47.2,46.65,46.8,-0.35,2305.0
105/03/23,3453015.0,161292590,46.8,47.1,46.5,46.8,0.0,1808.0
105/03/24,4390127.0,202966568,46.5,46.75,45.8,46.3,-0.5,2345.0
105/03/25,6028945.0,282813062,46.4,47.15,46.4,47.0,0.7,2474.0
105/03/28,3763691.0,176489047,47.0,47.0,46.6,47.0,0.0,1759.0
105/03/29,3702753.0,156626440,42.3,42.3,42.3,42.3,-4.7,1661.0
105/03/30,36505611.0,1450686199,39.7,40.2,38.85,39.95,-2.35,13472.0
105/03/31,17056529.0,693457958,40.45,41.0,40.1,40.75,0.8,7206.0
