日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
103/07/01,313952.0,8914438,28.4,28.5,28.3,28.35,-0.05,159.0
103/07/02,489785.0,14042005,28.4,28.85,28.35,28.7,0.35,227.0
103/07/03,111621.0,3178466,28.5,28.55,28.4,28.5,-0.2,66.0
103/07/04,426963.0,12241932,28.5,28.95,28.35,28.85,0.35,177.0
103/07/07,355106.0,10237783,28.55,29.0,28.55,28.85,0.0,147.0
103/07/08,207749.0,5938642,28.7,28.85,28.5,28.6,-0.25,108.0
103/07/09,294182.0,8363997,28.55,28.55,28.35,28.4,-0.2,197.0
103/07/10,548081.0,15531986,28.45,28.6,28.2,28.4,0.0,331.0
103/07/11,413147.0,11698756,28.35,28.6,28.2,28.45,0.05,203.0
103/07/14,392017.0,11227680,28.5,28.8,28.35,28.75,0.3,130.0
103/07/15,947839.0,27530468,28.75,29.25,28.55,29.2,0.45,333.0
103/07/16,587107.0,17169759,29.4,29.4,29.05,29.1,-0.1,243.0
103/07/17,287439.0,8329589,29.15,29.3,28.9,29.0,-0.1,171.0
103/07/18,291831.0,8411978,28.95,29.0,28.65,28.85,-0.15,203.0
103/07/21,717725.0,20622381,29.0,29.0,28.6,28.75,-0.1,305.0
103/07/22,602073.0,16718625,27.5,28.1,27.4,27.95,-0.8000000000000007,438.0
103/07/24,312118.0,8692720,28.1,28.1,27.7,27.8,-0.15,191.0
103/07/25,149681.0,4155109,27.5,27.9,27.5,27.8,0.0,98.0
103/07/28,381499.0,10697893,27.9,28.2,27.7,28.05,0.25,230.0
103/07/29,543251.0,15359971,28.05,28.6,27.9,28.5,0.45,394.0
103/07/30,933406.0,27024399,28.5,29.25,28.45,29.1,0.6,420.0
103/07/31,673184.0,19618070,29.1,29.4,28.8,29.25,0.15,298.0
