日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/03/01,719038.0,17391581,24.3,24.35,24.1,24.15,-0.3,433.0
112/03/02,426573.0,10345033,24.15,24.3,24.15,24.3,0.15,270.0
112/03/03,362347.0,8798805,24.3,24.35,24.2,24.35,0.05,261.0
112/03/06,610001.0,14866821,24.45,24.45,24.25,24.3,-0.05,401.0
112/03/07,304964.0,7436240,24.4,24.45,24.3,24.4,0.1,236.0
112/03/08,690120.0,16803730,24.4,24.45,24.25,24.45,0.05,425.0
112/03/09,880359.0,21628570,24.5,24.75,24.35,24.4,-0.05,518.0
112/03/10,936963.0,22551252,24.35,24.35,23.9,24.1,-0.3,689.0
112/03/13,1045984.0,24935896,24.05,24.05,23.6,24.0,-0.1,631.0
112/03/14,1080348.0,25981640,23.9,24.2,23.85,24.1,0.1,412.0
112/03/15,2814866.0,69561523,24.25,24.95,24.15,24.95,0.85,1243.0
112/03/16,1940150.0,47395586,24.75,24.8,24.1,24.4,-0.55,1209.0
112/03/17,5275667.0,133241914,24.7,25.7,24.65,25.6,1.2,2065.0
112/03/20,1891825.0,48071860,25.55,25.65,25.3,25.35,-0.25,1257.0
112/03/21,1272018.0,32616400,25.5,25.85,25.4,25.7,0.35,704.0
112/03/22,1668231.0,42543559,25.8,25.8,25.3,25.3,-0.4,975.0
112/03/23,1235835.0,31418064,25.1,25.65,25.1,25.55,0.25,718.0
112/03/24,669440.0,17065395,25.7,25.7,25.4,25.5,-0.05,413.0
112/03/27,4759072.0,124969940,25.7,26.6,25.55,26.25,0.75,1745.0
112/03/28,1627138.0,42357477,26.3,26.45,25.8,26.0,-0.25,990.0
112/03/29,1861739.0,48851453,26.15,26.45,26.0,26.15,0.15,920.0
112/03/30,1288896.0,33558884,26.35,26.35,25.95,26.1,-0.05,729.0
112/03/31,1877032.0,49496641,26.15,26.55,26.1,26.5,0.4,914.0
