日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
106/05/02,82090.0,2141153,26.1,26.15,26.0,26.05,-0.05,67.0
106/05/03,125659.0,3277013,26.05,26.15,26.05,26.05,0.0,78.0
106/05/04,165948.0,4319398,26.0,26.1,25.9,26.1,0.05,104.0
106/05/05,106501.0,2769321,26.0,26.05,25.95,26.0,-0.1,84.0
106/05/08,81148.0,2113533,26.15,26.15,26.0,26.0,0.0,63.0
106/05/09,75631.0,1962057,26.0,26.05,25.9,25.9,-0.1,62.0
106/05/10,71168.0,1841327,25.8,26.0,25.8,25.85,-0.05,84.0
106/05/11,156730.0,4042427,25.9,25.9,25.7,25.8,-0.05,106.0
106/05/12,128571.0,3318455,25.9,25.9,25.7,25.8,0.0,79.0
106/05/15,93315.0,2401642,25.8,25.8,25.6,25.75,-0.05,64.0
106/05/16,123249.0,3178157,25.85,25.85,25.75,25.8,0.05,81.0
106/05/17,112053.0,2891368,25.65,25.9,25.65,25.8,0.0,83.0
106/05/18,303990.0,7851239,25.8,25.95,25.7,25.8,0.0,152.0
106/05/19,98678.0,2542005,25.8,25.95,25.7,25.7,-0.1,86.0
106/05/22,228382.0,5849987,25.7,25.7,25.55,25.55,-0.15,126.0
106/05/23,270168.0,6904046,25.6,25.65,25.5,25.65,0.1,116.0
106/05/24,61264.0,1578393,25.75,25.85,25.65,25.85,0.2,50.0
106/05/25,85008.0,2202300,25.8,25.95,25.75,25.9,0.05,70.0
106/05/26,96361.0,2497544,25.95,26.0,25.85,25.95,0.05,56.0
106/05/31,330504.0,8603604,25.95,26.2,25.85,26.2,0.25,260.0
