日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
102/04/01,295754.0,5185766,17.55,17.8,17.45,17.45,-0.4,139.0
102/04/02,315573.0,5511742,17.45,17.6,17.4,17.55,0.1,129.0
102/04/03,329242.0,5773084,17.55,17.7,17.4,17.6,0.05,177.0
102/04/08,302333.0,5222891,17.4,17.4,17.1,17.4,-0.2,133.0
102/04/09,93367.0,1624796,17.4,17.5,17.35,17.4,0.0,57.0
102/04/10,144100.0,2510233,17.5,17.5,17.25,17.45,0.05,42.0
102/04/11,55743.0,975661,17.55,17.6,17.45,17.5,0.05,34.0
102/04/12,43510.0,758871,17.6,17.6,17.35,17.5,0.0,29.0
102/04/15,187016.0,3225825,17.35,17.5,17.1,17.5,0.0,101.0
102/04/16,100409.0,1735374,17.15,17.45,17.15,17.45,-0.05,61.0
102/04/17,128540.0,2223836,17.45,17.45,17.2,17.35,-0.1,83.0
102/04/18,148950.0,2569332,17.2,17.35,17.2,17.3,-0.05,96.0
102/04/19,349560.0,6090892,17.3,17.5,17.3,17.5,0.2,126.0
102/04/22,760901.0,13525249,17.7,17.9,17.65,17.7,0.2,291.0
102/04/23,244869.0,4283855,17.7,17.7,17.35,17.6,-0.1,175.0
102/04/24,261266.0,4584816,17.6,17.7,17.45,17.55,-0.05,135.0
102/04/25,693373.0,12171768,17.5,17.7,17.4,17.4,-0.15,199.0
102/04/26,892889.0,15738154,17.5,17.75,17.5,17.6,0.2,220.0
102/04/29,712278.0,12623452,17.7,17.8,17.6,17.75,0.15,164.0
102/04/30,1855042.0,33583799,17.85,18.25,17.85,18.15,0.4,570.0
