日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
106/03/01,466468.0,12327559,26.4,26.55,26.3,26.3,-0.05,296.0
106/03/02,736257.0,19265050,26.2,26.45,25.9,25.95,-0.35,304.0
106/03/03,240532.0,6246002,25.95,26.05,25.9,25.95,0.0,121.0
106/03/06,131249.0,3407081,25.95,26.1,25.9,25.95,0.0,94.0
106/03/07,118724.0,3091579,25.95,26.2,25.95,26.0,0.05,74.0
106/03/08,849853.0,22641458,26.0,26.85,26.0,26.8,0.8,436.0
106/03/09,407538.0,10851704,26.7,26.75,26.5,26.55,-0.25,193.0
106/03/10,242620.0,6384180,26.55,26.55,26.2,26.35,-0.2,159.0
106/03/13,192063.0,5095216,26.4,26.65,26.3,26.6,0.25,108.0
106/03/14,209371.0,5552756,26.6,26.6,26.25,26.6,0.0,143.0
106/03/15,164749.0,4367243,26.5,26.55,26.4,26.55,-0.05,89.0
106/03/16,253421.0,6754342,26.5,26.8,26.5,26.65,0.1,157.0
106/03/17,472569.0,12587932,26.55,26.85,26.45,26.85,0.2,257.0
106/03/20,249491.0,6700526,26.9,27.0,26.7,26.75,-0.1,147.0
106/03/21,205902.0,5490379,26.65,26.75,26.55,26.75,0.0,187.0
106/03/22,503460.0,13405031,26.6,26.75,26.4,26.7,-0.05,160.0
106/03/23,307912.0,8224045,26.8,26.8,26.65,26.7,0.0,155.0
106/03/24,226974.0,6062507,26.7,26.8,26.6,26.7,0.0,92.0
106/03/27,194329.0,5178646,26.8,26.8,26.5,26.5,-0.2,106.0
106/03/28,840082.0,22524722,26.65,26.95,26.65,26.65,0.15,292.0
106/03/29,144267.0,3846970,26.8,26.8,26.6,26.75,0.1,103.0
106/03/30,189272.0,5032897,26.55,26.8,26.5,26.6,-0.15,120.0
106/03/31,247185.0,6563554,26.75,26.75,26.45,26.7,0.1,137.0
