日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/11/01,1782300.0,63208318,35.0,35.8,34.7,35.45,0.55,1175.0
107/11/02,940008.0,33374735,35.45,35.7,35.2,35.65,0.2,721.0
107/11/05,553052.0,19535171,35.25,35.6,35.05,35.3,-0.35,435.0
107/11/06,642143.0,22744376,35.3,35.85,35.15,35.25,-0.05,496.0
107/11/07,538700.0,19152500,35.25,35.8,35.25,35.7,0.45,382.0
107/11/08,1049657.0,37492966,35.7,35.9,35.45,35.7,0.0,721.0
107/11/09,833300.0,28995200,35.55,35.55,34.45,34.75,-0.95,572.0
107/11/12,727080.0,25133098,34.8,34.95,34.3,34.7,-0.05,536.0
107/11/13,640100.0,21969950,34.2,34.5,33.9,34.5,-0.2,447.0
107/11/14,1097599.0,38543321,34.5,35.35,34.5,35.3,0.8,813.0
107/11/15,3848585.0,142215293,35.65,37.7,35.55,37.65,2.35,2683.0
107/11/16,10060950.0,406816426,38.25,41.4,37.85,41.4,3.75,4933.0
107/11/19,5152411.0,218635998,42.4,43.6,41.6,42.35,0.95,3218.0
107/11/20,1685675.0,69779235,41.85,41.9,40.95,41.15,-1.2,1243.0
107/11/21,1639637.0,67377575,40.95,41.8,40.3,41.4,0.25,1081.0
107/11/22,1514918.0,61581793,41.5,41.65,40.0,40.4,-1.0,1049.0
107/11/23,1064748.0,42848619,40.5,40.85,39.75,40.0,-0.4,760.0
107/11/26,773171.0,31562190,40.5,41.25,40.5,40.9,0.9,597.0
107/11/27,2456146.0,100553027,40.9,42.1,40.2,40.25,-0.65,1615.0
107/11/28,1721425.0,68347991,40.7,40.7,39.25,39.95,-0.3,1076.0
107/11/29,1399299.0,55825849,40.35,40.65,39.35,39.75,-0.2,972.0
107/11/30,1366000.0,54450800,39.75,40.2,39.6,39.6,-0.15,684.0
