日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/04/01,1755259.0,57345612,32.0,32.95,31.9,32.85,0.85,1176.0
109/04/06,1616746.0,52906889,33.2,33.2,32.5,32.65,-0.2,1010.0
109/04/07,1694023.0,55618609,33.05,33.15,32.6,32.8,0.15,877.0
109/04/08,1983284.0,65627412,32.8,33.65,32.5,33.45,0.65,1134.0
109/04/09,3021953.0,102085251,34.0,34.5,33.05,33.65,0.2,1967.0
109/04/10,1693221.0,57784664,34.1,35.0,33.7,34.0,0.35,877.0
109/04/13,990513.0,33627308,34.1,34.25,33.75,33.75,-0.25,628.0
109/04/14,1454893.0,49587582,33.8,34.4,33.8,34.25,0.5,775.0
109/04/15,2509849.0,86473315,34.7,34.7,34.15,34.6,0.35,1350.0
109/04/16,2822925.0,95388950,34.3,34.3,33.5,33.8,-0.8,1586.0
109/04/17,1848913.0,62896652,34.3,34.5,33.65,33.7,-0.1,1177.0
109/04/20,701544.0,23665997,33.6,33.9,33.55,33.85,0.15,448.0
109/04/21,2591630.0,87219270,33.85,34.1,33.45,33.5,-0.35,1229.0
109/04/22,1294265.0,43269780,33.0,33.95,32.6,33.9,0.4,657.0
109/04/23,1283112.0,43629273,34.15,34.4,33.75,33.9,0.0,758.0
109/04/24,528433.0,17902456,34.1,34.15,33.65,33.75,-0.15,383.0
109/04/27,1519145.0,51925340,33.9,34.5,33.65,34.35,0.6,937.0
109/04/28,1259339.0,43485904,34.7,34.8,34.35,34.55,0.2,790.0
109/04/29,1818268.0,63371858,34.85,35.2,34.6,34.75,0.2,1224.0
109/04/30,2703881.0,95952267,35.0,35.95,35.0,35.95,1.2,1708.0
