日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
105/06/01,1256591.0,352496082,280.0,282.5,278.5,279.0,-1.0,1004.0
105/06/02,1118465.0,312782305,282.0,282.5,278.0,278.0,-1.0,936.0
105/06/03,938928.0,264108718,282.0,283.0,280.0,282.5,4.5,807.0
105/06/04,283297.0,79883957,282.5,282.5,281.5,282.0,-0.5,260.0
105/06/06,671738.0,188859640,283.0,284.0,278.5,280.0,-2.0,587.0
105/06/07,1555094.0,438274508,282.5,283.5,280.5,283.5,3.5,1229.0
105/06/08,1608092.0,460578312,284.0,287.5,283.5,287.5,4.0,1317.0
105/06/13,1642563.0,457348721,282.5,284.5,275.0,279.0,-8.5,1361.0
105/06/14,2694267.0,752344216,271.0,287.0,270.0,287.0,8.0,2093.0
105/06/15,1523155.0,430691555,286.5,286.5,281.0,283.0,-4.0,1235.0
105/06/16,1249828.0,349433093,283.0,283.0,278.0,280.0,-3.0,1040.0
105/06/17,1705796.0,481839880,282.5,283.5,281.5,281.5,1.5,1121.0
105/06/20,625353.0,175798011,281.0,283.0,280.0,281.5,0.0,552.0
105/06/21,1215548.0,342325940,279.5,283.0,279.0,281.5,0.0,1108.0
105/06/22,1441608.0,407445064,280.5,284.0,280.5,284.0,2.5,1127.0
105/06/23,1066479.0,297899162,281.5,282.5,278.0,278.0,-6.0,887.0
105/06/24,2032758.0,557688934,279.0,280.0,270.0,275.0,-3.0,1530.0
105/06/27,3348559.0,891859694,274.5,274.5,264.0,265.0,-10.0,2550.0
105/06/28,2381780.0,630353422,260.5,269.5,260.0,268.5,3.5,1952.0
105/06/29,1096074.0,294244406,268.5,270.0,266.0,268.0,-0.5,1003.0
105/06/30,2238065.0,597622355,269.0,269.5,265.0,265.5,-2.5,1433.0
