日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
106/08/01,1441332.0,408088774,282.0,284.0,282.0,283.0,2.0,927.0
106/08/02,1222197.0,347024837,284.0,285.0,283.0,284.0,1.0,1064.0
106/08/03,1468908.0,412807556,280.0,282.5,280.0,281.5,-2.5,873.0
106/08/04,2327035.0,654083335,281.0,282.5,280.5,280.5,-1.0,1340.0
106/08/07,3453223.0,967121521,278.5,281.5,278.5,280.5,0.0,1979.0
106/08/08,5124285.0,1359788525,268.0,268.0,263.0,263.0,-17.5,2353.0
106/08/09,1724482.0,458003212,265.0,267.0,264.0,265.5,2.5,1231.0
106/08/10,1871869.0,492321547,265.0,265.5,262.0,263.0,-2.5,1160.0
106/08/11,2184221.0,568245123,262.0,263.0,258.0,258.0,-5.0,1400.0
106/08/14,4340914.0,1070340672,243.5,251.0,243.5,246.0,-12.0,2811.0
106/08/15,2454057.0,606260592,249.0,252.0,245.0,245.0,-1.0,1556.0
106/08/16,1762839.0,430770555,245.0,247.0,242.5,244.0,-1.0,1402.0
106/08/17,1435830.0,350566350,244.0,247.0,242.5,243.5,-0.5,1318.0
106/08/18,1802322.0,438638212,243.5,246.0,241.5,245.5,2.0,1353.0
106/08/21,700175.0,170344097,245.0,245.0,242.5,242.5,-3.0,698.0
106/08/22,1055353.0,256071279,241.5,245.0,241.5,242.0,-0.5,936.0
106/08/23,996448.0,242608570,243.0,244.0,242.5,243.5,1.5,912.0
106/08/24,1522149.0,368143558,242.0,244.0,241.0,241.0,-2.5,1356.0
106/08/25,982835.0,238144405,241.0,243.5,241.0,243.0,2.0,937.0
106/08/28,2963984.0,739531100,245.0,252.0,244.5,249.0,6.0,2111.0
106/08/29,1714365.0,424011804,252.0,252.0,245.5,246.5,-2.5,1313.0
106/08/30,1057351.0,261737697,246.5,249.5,246.5,247.0,0.5,875.0
106/08/31,1415849.0,352881569,247.5,250.0,247.5,250.0,3.0,895.0
