日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/03/01,3078403.0,1148971621,369.5,376.5,369.5,373.5,2.0,2862.0
111/03/02,2263600.0,845222456,370.5,375.0,370.5,373.0,-0.5,1795.0
111/03/03,2710167.0,1026285038,374.0,380.5,374.0,380.0,7.0,2624.0
111/03/04,3559454.0,1347539630,377.0,381.5,376.0,376.0,-4.0,2950.0
111/03/07,5278981.0,1922331156,372.0,372.5,359.0,364.0,-12.0,5918.0
111/03/08,4715983.0,1690988395,360.0,364.5,355.0,358.5,-5.5,5110.0
111/03/09,2466525.0,886497803,361.0,361.5,357.0,360.0,1.5,2264.0
111/03/10,3067823.0,1126302164,367.0,369.0,365.0,366.5,6.5,2585.0
111/03/11,3540869.0,1313700537,369.0,374.0,368.0,371.5,5.0,3147.0
111/03/14,5039951.0,1840370292,368.5,369.5,360.0,369.5,-2.0,4505.0
111/03/15,3387034.0,1238177240,368.0,368.5,362.0,368.0,-1.5,2916.0
111/03/16,6476023.0,2427929676,369.0,379.0,368.0,379.0,11.0,5324.0
111/03/17,13730301.0,5180549909,384.0,384.5,369.5,377.0,-2.0,12511.0
111/03/18,6780241.0,2536919938,377.0,381.0,371.0,372.5,-4.5,5682.0
111/03/21,4148775.0,1551933955,372.5,376.0,371.5,374.5,2.0,3751.0
111/03/22,4279175.0,1588499704,371.5,373.5,368.0,372.0,-2.5,4159.0
111/03/23,2321366.0,864626540,371.5,374.0,371.0,372.5,0.5,2493.0
111/03/24,2155366.0,806239792,372.5,376.0,372.5,373.0,0.5,2728.0
111/03/25,4312414.0,1617347745,375.5,377.0,372.5,374.0,1.0,3046.0
111/03/28,2735861.0,1026792938,373.0,378.0,372.0,378.0,4.0,2665.0
111/03/29,1466383.0,552397675,379.0,379.5,375.5,376.0,-2.0,2572.0
111/03/30,2435510.0,914769235,376.0,377.0,374.0,375.5,-0.5,2530.0
111/03/31,1796406.0,673077286,375.0,376.5,373.5,373.5,-2.0,1717.0
