日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/10/01,2303097.0,739883311,325.0,325.5,319.0,320.5,-5.0,2446.0
110/10/04,1726868.0,558384452,323.0,325.0,322.0,324.0,3.5,1512.0
110/10/05,1669499.0,539325814,321.0,327.0,320.5,324.0,0.0,2993.0
110/10/06,1939610.0,626175667,326.0,326.0,321.0,323.0,-1.0,1658.0
110/10/07,4014197.0,1339088516,327.0,337.0,327.0,337.0,14.0,3426.0
110/10/08,2375201.0,801896701,334.0,339.0,333.0,338.0,1.0,2310.0
110/10/12,2585960.0,875195757,338.5,342.0,333.5,338.0,0.0,2223.0
110/10/13,3558066.0,1218007082,340.0,345.0,338.5,343.5,5.5,3213.0
110/10/14,3621372.0,1217244328,344.0,344.5,332.0,333.5,-10.0,3423.0
110/10/15,1912148.0,640930410,336.0,337.5,333.5,334.0,0.5,1602.0
110/10/18,1558916.0,525171805,336.0,339.0,335.5,335.5,1.5,1459.0
110/10/19,1834276.0,620110844,338.0,339.5,336.5,339.0,3.5,1669.0
110/10/20,3822174.0,1318102599,341.0,348.0,339.5,344.5,5.5,4020.0
110/10/21,3944419.0,1376356769,347.0,351.0,346.5,349.0,4.5,3106.0
110/10/22,3971431.0,1406102344,353.0,356.0,350.5,356.0,7.0,3464.0
110/10/25,2967735.0,1054830844,354.5,359.5,352.0,353.0,-3.0,3805.0
110/10/26,3213174.0,1145057154,354.5,358.5,352.0,356.5,3.5,2445.0
110/10/27,1428018.0,508987281,355.5,358.5,354.5,357.5,1.0,1330.0
110/10/28,1795370.0,639105379,357.0,359.0,354.0,354.0,-3.5,1664.0
110/10/29,2454931.0,864345205,354.0,356.5,350.5,353.0,-1.0,2157.0
