日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
103/12/01,349642.0,29000620,82.8,83.5,81.5,82.9,-0.7,298.0
103/12/02,406397.0,33493030,82.6,83.4,81.7,83.2,0.3,349.0
103/12/03,1927388.0,169026232,83.5,89.0,83.5,89.0,5.8,1060.0
103/12/04,4881813.0,441947887,89.2,91.5,89.2,89.8,0.8,2598.0
103/12/05,1107380.0,100476727,90.2,91.4,90.2,90.9,1.1,809.0
103/12/08,959312.0,87187504,91.0,91.8,90.1,90.4,-0.5,747.0
103/12/09,861538.0,76653344,90.0,90.5,88.1,88.3,-2.1,602.0
103/12/10,1118053.0,96388970,86.0,87.3,85.6,85.6,-2.7,802.0
103/12/11,864000.0,72893800,84.6,85.2,83.3,84.6,-1.0,608.0
103/12/12,830000.0,70782000,84.6,85.9,84.6,85.0,0.4,532.0
103/12/15,411000.0,34556100,84.1,84.6,83.8,84.4,-0.6,315.0
103/12/16,476000.0,40272300,84.4,85.1,84.2,84.9,0.5,347.0
103/12/17,393720.0,33134071,84.4,84.9,83.9,83.9,-1.0,337.0
103/12/18,401010.0,33685335,85.0,85.0,83.2,83.2,-0.7,341.0
103/12/19,386200.0,32294959,83.8,84.4,82.6,82.8,-0.4,292.0
103/12/22,235165.0,19639560,83.0,83.9,83.0,83.9,1.1,226.0
103/12/23,306100.0,25964589,84.2,85.7,84.2,84.3,0.4,286.0
103/12/24,257317.0,21769922,84.5,85.3,84.3,84.3,0.0,223.0
103/12/25,126153.0,10658482,84.8,84.8,84.3,84.4,0.1,91.0
103/12/26,242070.0,20412815,84.5,84.6,83.9,84.5,0.1,169.0
103/12/27,150000.0,12691300,84.9,85.0,84.3,85.0,0.5,122.0
103/12/29,1457130.0,127129810,85.5,88.4,85.4,87.0,2.0,1102.0
103/12/30,802454.0,69614479,87.5,88.3,85.5,85.7,-1.3,650.0
103/12/31,658019.0,55716110,86.0,86.0,84.3,84.8,-0.9,522.0
