日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/01/02,13698944.0,499370945,36.45,36.6,36.05,36.55,0.1,3932.0
107/01/03,19959825.0,737353608,36.5,37.35,36.25,37.35,0.8,5001.0
107/01/04,14927721.0,555392977,37.35,37.45,36.75,37.2,-0.15,5698.0
107/01/05,35536815.0,1325926954,37.5,37.5,37.05,37.3,0.1,7554.0
107/01/08,22660681.0,858574153,37.4,38.3,37.2,38.2,0.9,7513.0
107/01/09,19053008.0,728607834,38.1,38.55,37.9,38.3,0.1,6170.0
107/01/10,11674625.0,447720584,38.3,38.5,38.0,38.45,0.15,4366.0
107/01/11,35062055.0,1322632044,38.3,38.35,37.45,37.5,-0.95,10505.0
107/01/12,18804747.0,707643024,37.75,37.95,37.35,37.6,0.1,7168.0
107/01/15,9637157.0,363246276,37.65,37.85,37.55,37.85,0.25,2849.0
107/01/16,9338163.0,354474155,37.95,38.1,37.7,38.1,0.25,3315.0
107/01/17,12716828.0,487501985,38.0,38.5,37.9,38.5,0.4,4645.0
107/01/18,13010910.0,497368272,38.6,38.65,37.75,37.85,-0.65,3842.0
107/01/19,8346117.0,316437594,37.95,38.1,37.75,37.9,0.05,2707.0
107/01/22,8771524.0,330896083,37.9,37.9,37.55,37.85,-0.05,2258.0
107/01/23,13647470.0,507908931,37.8,37.8,36.85,37.3,-0.55,4030.0
107/01/24,8517283.0,316930360,37.45,37.45,36.9,37.3,0.0,3140.0
107/01/25,6043087.0,226919435,37.3,37.65,37.25,37.6,0.3,2619.0
107/01/26,10584133.0,401558643,37.75,38.2,37.5,38.2,0.6,3584.0
107/01/29,5861953.0,222753951,38.3,38.4,37.7,37.95,-0.25,2264.0
107/01/30,5942325.0,224959885,38.0,38.05,37.7,37.9,-0.05,2442.0
107/01/31,5410009.0,203905328,37.6,37.9,37.35,37.65,-0.25,1594.0
