日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
105/04/01,5973561.0,183333216,30.85,31.05,30.4,30.8,-0.7,3140.0
105/04/06,7673379.0,231510531,30.4,30.5,30.0,30.0,-0.8,3831.0
105/04/07,7114308.0,211805740,30.0,30.3,29.3,29.85,-0.15,3304.0
105/04/08,9656406.0,287731632,29.75,30.2,29.45,30.2,0.35,3996.0
105/04/11,5677983.0,169287226,29.4,30.2,29.4,30.2,0.0,2953.0
105/04/12,5679663.0,172840600,30.2,30.6,29.9,30.5,0.3,3284.0
105/04/13,13086226.0,410341474,30.6,31.6,30.55,31.6,1.1,6420.0
105/04/14,25875557.0,848058591,31.7,33.25,31.7,33.0,1.4,8066.0
105/04/15,12931841.0,431589396,33.1,33.85,32.5,33.55,0.55,5451.0
105/04/18,9634724.0,328533652,33.95,35.0,33.25,33.95,0.4,4439.0
105/04/19,6091233.0,204943279,34.0,34.1,33.4,33.5,-0.45,3173.0
105/04/20,7401150.0,245587499,34.15,34.2,32.6,32.85,-0.65,3903.0
105/04/21,6886014.0,228094453,33.2,33.5,32.85,33.5,0.65,3195.0
105/04/22,3896026.0,129236649,33.5,33.55,33.0,33.1,-0.4,2365.0
105/04/25,2871499.0,95348726,33.0,33.5,33.0,33.2,0.1,1322.0
105/04/26,3850041.0,127353882,33.25,33.5,32.75,32.95,-0.25,1905.0
105/04/27,4844395.0,160325212,32.75,33.3,32.7,33.0,0.05,2673.0
105/04/28,6301468.0,208827932,33.45,33.6,32.8,33.25,0.25,2758.0
105/04/29,6002725.0,196581133,32.8,33.1,32.45,32.9,-0.35,2842.0
