時間,成交價,成交張數
13:01:45,170.0,23
13:01:40,170.0,8
13:01:35,170.0,30
13:01:30,170.0,31
13:01:25,170.0,54
13:01:20,170.0,23
13:01:15,170.0,6
13:01:10,170.0,28
13:01:05,170.5,22
13:01:00,170.0,22
13:00:55,170.0,26
13:00:50,170.0,6
13:00:45,170.0,11
13:00:40,170.0,16
13:00:35,170.0,7
13:00:30,169.5,1408
13:00:25,169.5,2
13:00:20,169.5,7
13:00:15,169.5,2
13:00:10,169.5,1
13:00:05,169.5,1
13:00:00,169.5,14
12:59:55,170.0,2
12:59:50,170.0,3
12:59:45,169.5,1
12:59:40,169.5,13
12:59:35,170.0,12
12:59:30,169.5,3
12:59:25,169.5,2
12:59:20,170.0,9
12:59:15,170.0,5
12:59:10,169.5,10
12:59:05,170.0,3
12:59:00,169.5,4
12:58:55,169.5,1
12:58:50,169.5,14
12:58:45,170.0,1
12:58:40,169.5,4
12:58:30,170.0,14
12:58:25,170.0,7
12:58:20,169.5,4
12:58:15,169.5,1
12:58:10,170.0,1
12:58:05,170.0,9
12:58:00,169.5,4
12:57:55,169.5,4
12:57:50,169.5,5
12:57:35,169.5,2
12:57:30,170.0,5
12:57:25,170.0,51
12:57:20,170.0,1
12:57:15,169.5,3
12:57:10,170.0,2
12:57:05,170.0,8
12:56:55,169.5,2
12:56:50,170.0,1
12:56:45,169.5,3
12:56:40,170.0,2
12:56:35,169.5,2
12:56:30,170.0,2
12:56:20,170.0,6
12:56:15,169.5,1
12:56:10,170.0,13
12:56:00,169.5,1
12:55:55,169.5,8
12:55:50,170.0,1
12:55:45,170.0,4
12:55:40,169.5,2
12:55:35,169.5,1
12:55:30,170.0,10
12:55:25,170.0,2
12:55:20,169.5,1
12:55:15,169.5,7
12:55:10,169.5,36
12:55:00,169.5,4
12:54:55,169.5,12
12:54:45,169.5,4
12:54:35,169.5,3
12:54:30,169.5,7
12:54:20,170.0,11
12:54:15,170.0,1
12:54:10,170.0,3
12:54:00,169.5,2
12:53:55,169.5,4
12:53:45,170.0,2
12:53:40,170.0,1
12:53:35,169.5,13
12:53:30,169.5,3
12:53:25,170.0,2
12:53:20,170.0,1
12:53:15,169.5,2
12:53:10,169.5,5
12:53:05,170.0,10
12:53:00,169.5,10
12:52:55,170.0,8
12:52:50,170.0,2
12:52:45,170.0,2
12:52:40,169.5,17
12:52:35,170.0,8
12:52:30,169.5,23
12:52:20,170.0,1
12:52:15,170.0,1
12:52:10,169.5,4
12:52:05,170.0,11
12:52:00,169.5,5
12:51:55,169.5,4
12:51:50,169.5,4
12:51:45,170.0,1
12:51:40,170.0,20
12:51:30,169.5,4
12:51:20,170.0,2
12:51:15,170.0,14
12:51:10,170.0,30
12:51:05,170.0,6
12:51:00,169.5,9
12:50:55,169.5,1
12:50:50,170.0,2
12:50:35,169.5,4
12:50:30,169.5,3
12:50:25,170.0,18
12:50:20,170.0,8
12:50:15,170.0,45
12:50:10,170.0,9
12:50:05,169.5,29
12:50:00,169.5,12
12:49:55,170.0,13
12:49:50,170.0,8
12:49:45,170.0,6
12:49:40,170.0,5
12:49:35,170.0,8
12:49:30,169.5,55
12:49:25,170.0,35
12:49:20,169.5,99
12:49:15,170.0,6
12:49:10,170.0,28
12:49:05,169.5,7
12:49:00,170.0,13
12:48:55,170.0,19
12:48:50,170.0,5
12:48:45,169.5,2
12:48:40,170.0,20
12:48:35,170.0,30
12:48:30,169.5,3
12:48:20,170.0,32
12:48:15,170.0,17
12:48:05,170.0,3
12:48:00,169.5,15
12:47:55,170.0,10
12:47:50,170.0,31
12:47:45,170.0,2
12:47:40,170.0,1
12:47:35,170.0,2
12:47:30,170.0,38
12:47:20,170.0,2
12:47:15,169.5,3
12:47:10,170.0,18
12:47:05,170.0,7
12:47:00,169.5,3
12:46:55,170.0,2
12:46:45,170.0,7
12:46:40,169.5,1
12:46:35,169.5,2
12:46:30,169.5,3
12:46:20,170.0,3
12:46:15,170.0,2
12:46:10,170.0,6
12:46:05,170.0,1
12:46:00,170.0,15
12:45:55,169.5,7
12:45:50,170.0,42
12:45:40,170.0,1
12:45:30,169.5,2
12:45:20,170.0,5
12:45:15,169.5,3
