日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
106/11/01,20465054.0,4975624502,243.5,245.0,241.5,242.5,-0.5,6464.0
106/11/02,16309342.0,3940181714,242.0,242.5,240.5,241.0,-1.5,5912.0
106/11/03,18327682.0,4386122470,240.5,241.0,238.5,239.0,-2.0,5621.0
106/11/06,21029515.0,5063670900,243.5,244.0,239.0,239.5,0.5,6601.0
106/11/07,21689261.0,5266500464,242.0,244.0,241.5,244.0,4.5,6729.0
106/11/08,14579103.0,3536455029,243.0,243.5,242.0,242.5,-1.5,4610.0
106/11/09,21366949.0,5151628572,240.5,243.0,240.0,241.0,-1.5,6339.0
106/11/10,15061296.0,3629826936,240.0,242.0,239.5,240.5,-0.5,4465.0
106/11/13,12087858.0,2904559294,240.0,241.5,239.5,239.5,-1.0,4288.0
106/11/14,17229176.0,4132433432,241.0,241.0,239.0,240.0,0.5,4130.0
106/11/15,29720308.0,7063591898,239.0,239.5,236.0,237.5,-2.5,9224.0
106/11/16,17274172.0,4118927788,238.0,240.0,237.5,238.0,0.5,5683.0
106/11/17,18741825.0,4528440917,240.5,242.5,240.5,241.5,3.5,5647.0
106/11/20,19811271.0,4744311377,241.0,241.5,238.0,238.5,-3.0,5935.0
106/11/21,22878024.0,5529803248,240.0,243.0,239.5,243.0,4.5,7942.0
106/11/22,27251431.0,6631376152,244.5,244.5,242.0,242.0,-1.0,7655.0
106/11/23,9562763.0,2320934646,242.0,243.5,241.5,242.5,0.5,4253.0
106/11/24,11404453.0,2777319771,242.0,244.5,241.5,244.0,1.5,3910.0
106/11/27,32247327.0,7696717391,240.0,240.0,237.0,237.0,-7.0,14743.0
106/11/28,47834178.0,11198457400,234.5,235.0,233.0,234.0,-3.0,15262.0
106/11/29,26535797.0,6234161137,235.0,236.0,234.5,234.5,0.5,6976.0
106/11/30,112262770.0,25539072296,226.5,230.5,226.0,226.0,-8.5,21352.0
