日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/01/04,51954817.0,674868200,13.15,13.2,12.8,13.05,-0.1,11083.0
110/01/05,24103590.0,311681865,13.05,13.05,12.8,12.95,-0.1,5697.0
110/01/06,23433254.0,304534315,13.0,13.15,12.9,12.95,0.0,5569.0
110/01/07,28689698.0,366598025,12.95,13.05,12.7,12.7,-0.25,7608.0
110/01/08,18311462.0,234531132,12.7,12.95,12.65,12.9,0.2,4693.0
110/01/11,18748933.0,239751741,12.9,12.9,12.7,12.75,-0.15,4160.0
110/01/12,26910781.0,339017646,12.7,12.75,12.5,12.55,-0.2,6219.0
110/01/13,15592990.0,196939724,12.55,12.8,12.5,12.6,0.05,3872.0
110/01/14,20214199.0,254752742,12.6,12.75,12.5,12.6,0.0,4915.0
110/01/15,40637650.0,497304268,12.6,12.6,12.0,12.2,-0.4,9881.0
110/01/18,30331592.0,369366021,12.05,12.5,11.9,12.5,0.3,5990.0
110/01/19,18477918.0,228484851,12.4,12.55,12.25,12.4,-0.1,3582.0
110/01/20,27995100.0,337938000,12.3,12.35,11.95,12.1,-0.3,7130.0
110/01/21,13511052.0,163731276,12.1,12.25,12.0,12.05,-0.05,3424.0
110/01/22,13527501.0,163272057,12.05,12.25,11.9,12.2,0.15,3488.0
110/01/25,12331615.0,149389531,12.15,12.25,12.0,12.1,-0.1,2559.0
110/01/26,11924817.0,144855827,12.1,12.3,12.05,12.15,0.05,2855.0
110/01/27,52074178.0,656948019,12.5,12.95,12.4,12.5,0.35,8920.0
110/01/28,54962925.0,705875466,12.45,13.1,12.3,12.9,0.4,11301.0
110/01/29,29362544.0,373589236,13.0,13.1,12.55,12.55,-0.35,6277.0
