日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/10/02,44150597.0,1306214697,30.0,30.0,29.45,29.45,-0.3,12534.0
112/10/03,63111701.0,1832235987,29.45,29.5,28.85,28.9,-0.55,19046.0
112/10/04,55170872.0,1569969541,28.9,28.9,28.3,28.3,-0.6,18488.0
112/10/05,107709661.0,3202853304,29.4,30.15,29.2,29.75,1.45,30834.0
112/10/06,60519216.0,1779613629,29.95,30.0,29.2,29.25,-0.5,16750.0
112/10/11,66849690.0,1909284502,29.3,29.3,28.3,28.35,-0.9,22349.0
112/10/12,63899949.0,1862705158,28.85,29.4,28.65,29.2,0.85,17223.0
112/10/13,43358548.0,1251165306,29.0,29.1,28.65,28.7,-0.5,14401.0
112/10/16,87463789.0,2420124596,28.4,28.45,27.5,27.5,-1.2,29297.0
112/10/17,80925778.0,2191460694,27.7,27.75,26.8,26.85,-0.65,27201.0
112/10/18,63448621.0,1706980462,27.0,27.5,26.5,26.6,-0.25,19102.0
112/10/19,47225906.0,1259289211,26.35,26.95,26.2,26.95,0.35,12886.0
112/10/20,56434014.0,1484601849,26.65,26.75,25.9,26.5,-0.45,16053.0
112/10/23,41715982.0,1131885705,26.35,27.5,26.3,27.2,0.7,13951.0
112/10/24,46395283.0,1274922205,27.4,27.8,27.0,27.7,0.5,13554.0
112/10/25,38033909.0,1049247178,27.6,27.8,27.3,27.55,-0.15,10090.0
112/10/26,49371807.0,1357969983,27.35,27.95,27.3,27.3,-0.25,13694.0
112/10/27,47127197.0,1311225770,27.45,28.15,27.4,27.85,0.55,14747.0
112/10/30,30568401.0,840022756,27.8,27.8,27.3,27.4,-0.45,10399.0
112/10/31,36304875.0,1004530017,27.7,28.1,27.35,27.4,0.0,10950.0
