日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
100/03/01,776687.0,12481453,16.0,16.15,15.95,16.1,0.2,255.0
100/03/02,987237.0,15962861,16.0,16.3,15.9,16.2,0.1,331.0
100/03/03,997513.0,16324780,16.3,16.5,16.2,16.45,0.25,273.0
100/03/04,699794.0,11474394,16.45,16.5,16.35,16.35,-0.1,218.0
100/03/07,559946.0,9160917,16.3,16.45,16.25,16.35,0.0,169.0
100/03/08,1131599.0,18668051,16.45,16.65,16.3,16.4,0.05,264.0
100/03/09,867613.0,14399223,16.6,16.75,16.5,16.55,0.15,251.0
100/03/10,578690.0,9546211,16.45,16.55,16.4,16.5,-0.05,141.0
100/03/11,2025992.0,32904368,16.3,16.45,16.1,16.2,-0.3,253.0
100/03/14,1214668.0,19913119,16.45,16.7,16.15,16.3,0.1,407.0
100/03/15,1290372.0,20330121,16.3,16.45,15.25,15.5,-0.8,371.0
100/03/16,1375730.0,21341564,15.7,15.75,15.4,15.55,0.05,359.0
100/03/17,764411.0,11763154,15.55,15.55,15.3,15.35,-0.2,239.0
100/03/18,1914502.0,29642687,15.5,15.6,15.35,15.45,0.1,466.0
100/03/21,898878.0,13978992,15.45,15.7,15.45,15.6,0.15,265.0
100/03/22,867841.0,13594611,15.65,15.8,15.55,15.65,0.05,230.0
100/03/23,2917833.0,47577892,15.65,16.7,15.65,16.5,0.85,938.0
100/03/24,1162800.0,19056152,16.55,16.7,16.2,16.25,-0.25,413.0
100/03/25,960714.0,15591775,16.3,16.35,16.1,16.2,-0.05,211.0
100/03/28,3206817.0,52416737,16.25,16.65,16.15,16.5,0.3,609.0
100/03/29,5643574.0,95400558,16.5,17.1,16.5,17.05,0.55,1323.0
100/03/30,4398634.0,75626626,17.2,17.4,17.0,17.2,0.15,1250.0
100/03/31,3545259.0,60085481,17.2,17.45,16.6,16.8,-0.4,737.0
