日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
104/06/01,219379.0,2963495,13.55,13.6,13.45,13.55,0.1,77.0
104/06/02,239811.0,3232244,13.5,13.55,13.45,13.5,-0.05,80.0
104/06/03,241352.0,3229427,13.45,13.55,13.3,13.4,-0.1,149.0
104/06/04,503840.0,6683786,13.4,13.45,13.15,13.15,-0.25,300.0
104/06/05,677193.0,8828047,13.2,13.25,12.9,12.95,-0.2,286.0
104/06/08,467128.0,5936179,12.9,12.95,12.6,12.75,-0.2,216.0
104/06/09,281577.0,3540047,12.65,12.75,12.45,12.55,-0.2,155.0
104/06/10,306814.0,3821690,12.5,12.55,12.4,12.45,-0.1,166.0
104/06/11,627837.0,7690566,12.5,12.5,12.1,12.15,-0.3,238.0
104/06/12,217623.0,2633716,12.05,12.2,12.05,12.15,0.0,148.0
104/06/15,153110.0,1888151,12.2,12.4,12.2,12.4,0.25,98.0
104/06/16,204125.0,2496436,12.4,12.45,12.1,12.2,-0.2,89.0
104/06/17,464167.0,5649885,12.2,12.3,12.1,12.2,0.0,397.0
104/06/18,414072.0,5079637,12.2,12.55,12.15,12.4,0.2,241.0
104/06/22,213740.0,2639888,12.4,12.5,12.3,12.4,0.0,90.0
104/06/23,377696.0,4660322,12.55,12.55,12.25,12.3,-0.1,142.0
104/06/24,180972.0,2219901,12.4,12.4,12.2,12.35,0.05,121.0
104/06/25,101282.0,1245096,12.25,12.4,12.25,12.35,0.0,52.0
104/06/26,177991.0,2178738,12.25,12.35,12.2,12.2,-0.15,75.0
104/06/29,170000.0,2054050,12.2,12.2,12.0,12.1,-0.1,113.0
104/06/30,133150.0,1603750,12.0,12.15,12.0,12.05,-0.05,72.0
