日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/10/03,171084.0,2868948,16.75,17.0,16.65,16.7,-0.2,114.0
111/10/04,113854.0,1916357,16.9,16.9,16.7,16.9,0.2,89.0
111/10/05,202053.0,3421505,16.9,17.0,16.85,17.0,0.1,99.0
111/10/06,131235.0,2230703,17.05,17.1,16.9,17.05,0.05,86.0
111/10/07,105824.0,1796711,16.8,17.1,16.8,17.05,0.0,68.0
111/10/11,191426.0,3192593,16.5,17.15,16.5,16.7,-0.35,155.0
111/10/12,100273.0,1674518,16.7,16.85,16.55,16.85,0.15,71.0
111/10/13,287036.0,4694182,16.85,16.85,16.15,16.25,-0.6,190.0
111/10/14,198020.0,3248167,16.55,16.6,16.25,16.25,0.0,113.0
111/10/17,240677.0,3860014,16.25,16.3,16.0,16.0,-0.25,133.0
111/10/18,250814.0,4082382,16.2,16.55,16.1,16.4,0.4,179.0
111/10/19,241711.0,3927691,16.2,16.4,16.1,16.25,-0.15,151.0
111/10/20,348398.0,5588980,16.15,16.35,15.95,16.1,-0.15,177.0
111/10/21,184490.0,2955580,16.0,16.1,15.95,16.1,0.0,107.0
111/10/24,422430.0,6751222,16.15,16.3,15.75,15.75,-0.35,200.0
111/10/25,226704.0,3591246,15.8,15.95,15.75,15.8,0.05,197.0
111/10/26,145249.0,2304348,15.75,16.0,15.7,15.85,0.05,146.0
111/10/27,102774.0,1644586,15.9,16.1,15.9,16.05,0.2,80.0
111/10/28,89516.0,1434802,16.15,16.2,15.9,15.9,-0.15,65.0
111/10/31,95762.0,1525479,16.05,16.05,15.85,15.85,-0.05,91.0
