日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/11/01,533021.0,6234898,11.45,11.8,11.45,11.75,0.25,208.0
107/11/02,439485.0,5242568,11.8,12.0,11.8,11.95,0.2,212.0
107/11/05,240727.0,2837803,11.95,11.95,11.7,11.75,-0.2,128.0
107/11/06,180343.0,2120778,11.75,11.8,11.7,11.8,0.05,82.0
107/11/07,197102.0,2349474,11.8,12.0,11.8,12.0,0.2,110.0
107/11/08,270077.0,3256414,12.1,12.2,11.9,12.0,0.0,147.0
107/11/09,213614.0,2537735,11.95,12.0,11.8,12.0,0.0,89.0
107/11/12,210893.0,2548366,12.05,12.2,12.0,12.05,0.05,115.0
107/11/13,252001.0,3026012,12.05,12.15,11.8,12.15,0.1,143.0
107/11/14,1155627.0,14375253,12.5,12.6,12.3,12.5,0.35,380.0
107/11/15,948553.0,12037951,12.6,12.9,12.6,12.85,0.35,486.0
107/11/16,596876.0,7644655,12.9,12.9,12.75,12.9,0.05,291.0
107/11/19,376447.0,4900961,12.95,13.15,12.9,13.05,0.15,184.0
107/11/20,467536.0,6072318,13.05,13.05,12.95,13.05,0.0,184.0
107/11/21,223271.0,2899755,13.0,13.05,12.9,13.05,0.0,109.0
107/11/22,297821.0,3858188,13.1,13.1,12.9,12.95,-0.1,125.0
107/11/23,471895.0,6090385,12.75,13.0,12.75,13.0,0.05,210.0
107/11/26,4298355.0,58364935,13.25,13.8,13.15,13.8,0.8,1313.0
107/11/27,2729507.0,37517498,13.7,14.2,13.3,13.95,0.15,1089.0
107/11/28,1843862.0,25745431,13.8,14.2,13.8,13.9,-0.05,720.0
107/11/29,2719096.0,38720255,14.35,14.5,14.05,14.2,0.3,834.0
107/11/30,966676.0,13621579,14.05,14.2,14.0,14.1,-0.1,362.0
