日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
100/11/01,1548181.0,22847340,14.7,15.0,14.5,14.9,0.0,461.0
100/11/02,868684.0,12716838,14.65,14.9,14.5,14.9,0.0,1241.0
100/11/03,947969.0,13945941,14.85,14.9,14.5,14.55,-0.35,239.0
100/11/04,1056702.0,15770352,14.85,15.0,14.8,14.9,0.35,1393.0
100/11/07,2049678.0,31062685,15.05,15.4,14.85,15.4,0.5,394.0
100/11/08,3308265.0,51611148,15.65,15.8,15.3,15.3,-0.1,969.0
100/11/09,1152244.0,17532129,15.45,15.5,15.1,15.1,-0.2,324.0
100/11/10,1239637.0,18116262,14.9,14.9,14.5,14.6,-0.5,372.0
100/11/11,1009246.0,14788286,14.6,14.8,14.5,14.6,0.0,285.0
100/11/14,802432.0,11836492,14.8,14.9,14.7,14.7,0.1,258.0
100/11/15,705679.0,10278873,14.55,14.7,14.5,14.55,-0.15,214.0
100/11/16,855036.0,12341357,14.6,14.7,14.3,14.3,-0.25,313.0
100/11/17,2185423.0,30311647,14.2,14.2,13.75,13.8,-0.5,602.0
100/11/18,1556172.0,20893138,13.55,13.55,13.3,13.35,-0.45,483.0
100/11/21,1998070.0,25639942,13.3,13.35,12.45,12.8,-0.55,582.0
100/11/22,1243699.0,15876790,12.65,12.95,12.5,12.8,0.0,427.0
100/11/23,1201743.0,15132349,12.8,12.8,12.5,12.55,-0.25,276.0
100/11/24,1083210.0,13477077,12.25,12.65,12.25,12.6,0.05,317.0
100/11/25,581598.0,7309521,12.65,12.7,12.45,12.6,0.0,188.0
100/11/28,421929.0,5374839,12.6,12.8,12.6,12.8,0.2,121.0
100/11/29,715670.0,9278271,12.95,13.1,12.8,12.9,0.1,160.0
100/11/30,606312.0,7720691,12.85,13.0,12.6,12.8,-0.1,214.0
